method,sigma,equation_type,bc_type,sub_exp,display,n,h,linf_error,l2_error,observed_order_linf,observed_order_l2,boundary_flux_linf,boundary_dirichlet_linf,mean_offset,weighted_mean_solution,compatibility_integral,error,rate
FACR,0.0,Poisson,neumann,c_poisson_neumann_sigma0,"Neumann Poisson, sigma=0",33,0.03125,0.0008035776793788179,0.0004139642590736735,2.0020872428039276,2.0414806811047614,0.0007425756692089891,,0.00020853678385417232,0.0002085367838541713,-1.3877787807814457e-17,0.0008035776793788179,2.0020872428039276
FACR,0.0,Poisson,neumann,c_poisson_neumann_sigma0,"Neumann Poisson, sigma=0",65,0.015625,0.00020082180969970562,0.00010195568800042061,2.000521533806925,2.0215639493815982,9.287789645640032e-05,,-5.4740905761732715e-05,-5.474090576173358e-05,0.0,0.00020082180969970562,2.000521533806925
FACR,0.0,Poisson,neumann,c_poisson_neumann_sigma0,"Neumann Poisson, sigma=0",129,0.0078125,5.0200915727137145e-05,2.529503505475276e-05,2.0001303716393193,2.011016120439198,1.1611485724927206e-05,,-2.822478612265644e-05,-2.822478612265686e-05,-1.0408340855860843e-17,5.0200915727137145e-05,2.0001303716393193
FA,10.0,modified_H,"('D', 'N')",d_mixed_DN_sigma10,"Mixed (D,N), sigma=10 smoke check",9,0.125,0.0085587037414534,0.004252854081149249,,,0.04675133989313185,1.2246467991473532e-16,0.0,,,0.0085587037414534,
FA,10.0,modified_H,"('D', 'N')",d_mixed_DN_sigma10,"Mixed (D,N), sigma=10 smoke check",17,0.0625,0.002134256854729344,0.0010652805845455995,2.003658496906927,1.9971978834375375,0.0059198948550953645,1.2246467991473532e-16,0.0,,,0.002134256854729344,2.003658496906927
FA,10.0,modified_H,"('D', 'N')",d_mixed_DN_sigma10,"Mixed (D,N), sigma=10 smoke check",33,0.03125,0.000533225440761953,0.0002664902805487273,2.0009162931541704,1.9990786513589132,0.0007423750734165679,1.2246467991473532e-16,0.0,,,0.000533225440761953,2.0009162931541704
FA,10.0,modified_H,"('D', 'N')",d_mixed_DN_sigma10,"Mixed (D,N), sigma=10 smoke check",65,0.015625,0.0001332851857167583,6.663470569418572e-05,2.000229176872087,1.999737231489281,9.287162502857882e-05,1.2246467991473532e-16,0.0,,,0.0001332851857167583,2.000229176872087
FA,10.0,modified_H,"('D', 'N')",d_mixed_DN_sigma10,"Mixed (D,N), sigma=10 smoke check",129,0.0078125,3.3319973070655706e-05,1.6659485957223807e-05,2.000057297911901,1.999929893479198,1.1611289664870128e-05,1.2246467991473532e-16,0.0,,,3.3319973070655706e-05,2.000057297911901
CR,10.0,modified_H,"('D', 'N')",d_mixed_DN_sigma10,"Mixed (D,N), sigma=10 smoke check",9,0.125,0.008558703741453622,0.0042528540811492335,,,0.04675133989313229,1.2246467991473532e-16,0.0,,,0.008558703741453622,
CR,10.0,modified_H,"('D', 'N')",d_mixed_DN_sigma10,"Mixed (D,N), sigma=10 smoke check",17,0.0625,0.002134256854730676,0.0010652805845460546,2.003658496906063,1.9971978834369157,0.005919894855096253,1.2246467991473532e-16,0.0,,,0.002134256854730676,2.003658496906063
CR,10.0,modified_H,"('D', 'N')",d_mixed_DN_sigma10,"Mixed (D,N), sigma=10 smoke check",33,0.03125,0.0005332254407588444,0.0002664902805471447,2.0009162931634816,1.9990786513680974,0.0007423750734147916,1.2246467991473532e-16,0.0,,,0.0005332254407588444,2.0009162931634816
CR,10.0,modified_H,"('D', 'N')",d_mixed_DN_sigma10,"Mixed (D,N), sigma=10 smoke check",65,0.015625,0.00013328518571542602,6.663470569281497e-05,2.0002291768780966,1.999737231510391,9.287162501436796e-05,1.2246467991473532e-16,0.0,,,0.00013328518571542602,2.0002291768780966
CR,10.0,modified_H,"('D', 'N')",d_mixed_DN_sigma10,"Mixed (D,N), sigma=10 smoke check",129,0.0078125,3.331997291611266e-05,1.6659485878283463e-05,2.0000573045889167,1.9999299002856763,1.1611289650659273e-05,1.2246467991473532e-16,0.0,,,3.331997291611266e-05,2.0000573045889167
FACR,10.0,modified_H,"('D', 'N')",d_mixed_DN_sigma10,"Mixed (D,N), sigma=10 smoke check",9,0.125,0.008558703741453622,0.004252854081149236,,,0.04675133989313318,1.2246467991473532e-16,0.0,,,0.008558703741453622,
FACR,10.0,modified_H,"('D', 'N')",d_mixed_DN_sigma10,"Mixed (D,N), sigma=10 smoke check",17,0.0625,0.002134256854730898,0.0010652805845462689,2.0036584969059135,1.9971978834366264,0.005919894855097141,1.2246467991473532e-16,0.0,,,0.002134256854730898,2.0036584969059135
FACR,10.0,modified_H,"('D', 'N')",d_mixed_DN_sigma10,"Mixed (D,N), sigma=10 smoke check",33,0.03125,0.0005332254407610648,0.00026649028054801134,2.000916293157624,1.9990786513636958,0.0007423750734059098,1.2246467991473532e-16,0.0,,,0.0005332254407610648,2.000916293157624
FACR,10.0,modified_H,"('D', 'N')",d_mixed_DN_sigma10,"Mixed (D,N), sigma=10 smoke check",65,0.015625,0.00013328518571409376,6.663470569208302e-05,2.0002291768985248,1.9997372315309303,9.287162502147339e-05,1.2246467991473532e-16,0.0,,,0.00013328518571409376,2.0002291768985248
FACR,10.0,modified_H,"('D', 'N')",d_mixed_DN_sigma10,"Mixed (D,N), sigma=10 smoke check",129,0.0078125,3.331997287991939e-05,1.6659485860159763e-05,2.0000573061416,1.9999299018393233,1.1611289671975555e-05,1.2246467991473532e-16,0.0,,,3.331997287991939e-05,2.0000573061416
